Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
229;HL7 GELLO v.2 Syntax Re-Ballot;Clinical Decision Support Work Group;;Administrative;Robert Dunlop;Archived;06/03/2008;08/12/2008;Ballot - STU;2011 Sept WGM/Ballot;;;;;V3 Rules-GELLO;18/09/2000 08:00
282;Additional Information Specification 0008:  Home Health Attachment (CDAR1AIS0008R010);Payer/Provider Info Exchange Work Group;;Clinical;Penny Sanchez;Archived;26/09/2005;26/09/2005;;- Select One -;Create New Standard;;;;;25/01/2001 08:00
279;Patient Administration version 3 release 1 - Registries;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;26/09/2005;26/09/2005;;;Create New Standard;;;;;07/05/2001 08:00
286;Children's Preventive Health Services Additional Information Specification (CDAR1AIS0007R010);Payer/Provider Info Exchange Work Group;;Clinical;Penny Sanchez;Archived;23/05/2005;23/05/2005;;2009 Jany WGM;;;;;;01/04/2002 08:00
306;Version 3 Medical Records;Structured Documents Work Group;;None;Nancy Leroy;Archived;30/01/2006;30/01/2006;Ballot - Normative (no STU);;Supplement to a Current Standard;;;;;01/01/2003 08:00
276;EHR System Functional Model;Electronic Health Records Work Group;;Administrative;Corey Spears;Archived;26/09/2005;26/09/2005;;- Select One -;Create New Standard;;;;;01/04/2003 08:00
297;HL7 Messaging Standard Version 2.6;Publishing Work Group;;Organizational Support;Pete Gilbert;Archived;23/05/2005;23/05/2005;;;Revise Current Standard;;;;;05/05/2003 08:00
173;Wrappers Release 2;Infrastructure and Messaging Work Group;;Infrastructure;Rene Spronk;Archived;22/05/2007;22/05/2007;Ballot - Informative;- Select One -;;;;;;23/07/2003 08:00
280;RBAC Permission Catalog;Security Work Group;;Infrastructure;Glenn Marshall;Archived;26/09/2005;26/09/2005;Ballot - STU;;Create New Standard;;;;;01/09/2003 08:00
263;Implantable Device - Cardiac (IDC) Project;Orders and Observations Work Group;;Administrative;Hans Buitendijk;Archived;22/05/2006;22/05/2006;Ballot - Normative (no STU);;Create New Standard;;;;;08/09/2003 08:00
594;HL7 V3:Implantable Device Cardiac - Follow-up Device Summary, Release 2, 2007;Devices Work Group, Orders and Observations Work Group;;Clinical;Nicholas Steblay;Archived;;;;- Select One -;;;;;V3 Documents-Clinical (e.g. CDA);01/01/2004 08:00
305;Provider and Organization Registry Messaging Project;Process Improvement Work Group;;Organizational Support;June Rosploch;Archived;16/06/2005;16/06/2005;;;;;;;;12/01/2004 08:00
266;Clinical Statement Model (formerly Clinical Statement Pattern);Clinical Statement Work Group;Orders and Observations Work Group, Patient Care Work Group, Pharmacy Work Group, Public Health Work Group, Structured Documents Work Group;Administrative;Hans Buitendijk, Rik Smithies;Archived;06/05/2013;20/05/2013;Ballot - STU to Normative;2014 Sept WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Clinical_Statement_Work_Group;;- New Product Definition -;30/01/2004 08:00
277;Shared Messages Domain (COMT), Release 3;Infrastructure and Messaging Work Group;;Infrastructure;HL7 Netherlands;Archived;26/09/2005;26/09/2005;Ballot - Normative (no STU);- Select One -;Revise Current Standard;;;;;03/05/2004 08:00
284;Care Provision Domain;Patient Care Work Group;;Clinical;Dan Russler;Archived;23/05/2005;23/05/2005;Ballot - STU;2011 May WGM/Ballot;;;"http://www.hl7.org/dstucomments/showdetail.cfm?dstuid=14; 
http://wiki.hl7.org/index.php?title=Care_Provision_Artefact_Registry";;;03/05/2004 08:00
292;Scheduling Release 2;Patient Administration Work Group;;Administrative;A. Benson;Archived;23/05/2005;23/05/2005;Ballot - Normative (no STU);2012 Sept WGM/Ballot;;;;;;20/05/2004 08:00
296;HL7 Version 3 Substantive Changes;Architectural Review Work Group;;;Pete Gilbert;Archived;23/05/2005;23/05/2005;;;- OTHER -;;;;;01/09/2004 08:00
303;HL7 Specifications for Exchanging Clinical Laboratory Data from Clinical Research;Biomedical Research and Regulation Work Group;;;L Quade;Archived;23/05/2005;23/05/2005;;;;;;;;03/09/2004 08:00
273;Patient Safety Reporting;Biomedical Research and Regulation Work Group, Patient Safety Work Group;;;Clive Flashman;Archived;30/01/2006;30/01/2006;;;Create New Standard;;;;;16/09/2004 08:00
302;Abstract Transport Specification (ATS) Release 1;Infrastructure and Messaging Work Group;;Infrastructure;Joann Larson;Archived;23/05/2005;23/05/2005;;;;;;;;28/10/2004 08:00
281;Additional Information Specification 0010:  Pharmacy Prior Authorization Attachment (CDAR1AIS0010R010);Payer/Provider Info Exchange Work Group;;Clinical;Penny Sanchez;Archived;26/09/2005;26/09/2005;;2013 Jan WGM/Ballot;Create New Standard;;;;;03/01/2005 08:00
285;Patient Information Unspecified Attachment (CDAR1AIS0009R010);Payer/Provider Info Exchange Work Group;;Clinical;Penny Sanchez;Archived;23/05/2005;23/05/2005;;;;;;;;10/01/2005 08:00
289;Refinement, Constraint and Localization Chapter Completion;Conformance Work Group;;Infrastructure;Jane Curry;Archived;23/05/2005;23/05/2005;;;;;;;;10/01/2005 08:00
468;TermInfo - USING SNOMED CT in HL7 v3;Vocabulary Work Group;;Infrastructure;"Ian Townend; Ed Cheetham ";Archived;15/01/2005;15/01/2005;Ballot - STU;2009 May WGM/Ballot;Create New Standard, IG;;;;V3 Foundation-RIM;15/01/2005 08:00
269;Healthcare Development Framework, Phase III;Modeling and Methodology Work Group;;;Ioana Singureanu;Archived;30/01/2006;30/01/2006;;;Create New Standard;;;;- Non Product Project -;25/01/2005 08:00
299;HDF Phase III;Modeling and Methodology Work Group;;Infrastructure;Ioana Singureanu;Archived;25/01/2005;25/01/2005;;2009 Sept WGM/Ballot;Create New Standard;;;;;25/01/2005 08:00
294;Specimen Domain Membership Ballot 1;Laboratory Work Group;;None;Not Applicable;Archived;01/03/2005;23/05/2005;Ballot - Informative;;;;;;;01/02/2005 08:00
291;Design Constraint Rules and Guidelines Project;Modeling and Methodology Work Group;;;Dale Nelson;Archived;03/06/2005;03/06/2005;;;;;;;;02/05/2005 08:00
293;Patient Administration version 3 release 2;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;06/05/2005;23/05/2005;;;Revise Current Standard;;;;;02/05/2005 08:00
298;Care Record Summary IGs for CDA R2;Patient Care Work Group, Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;23/05/2005;23/05/2005;Ballot - Informative;;IG;;;;V3 Documents-Clinical (e.g. CDA);02/05/2005 08:00
283;Transport Specification for ISO 9660-compliant Removable Media;Implementable Technology Specifications Work Group;;Infrastructure;Paul Knapp;Archived;26/09/2005;26/09/2005;;- Select One -;;;;;;02/05/2005 08:00
267;Common Message Element Types (COCT) Release 5;Modeling and Methodology Work Group;;Infrastructure;Dale Nelson;Archived;30/01/2006;30/01/2006;;;Create New Standard;;;;;02/05/2005 08:00
288;Version 3 Pharmacy Release 2;Pharmacy Work Group;;Clinical;Scott Robertson;Archived;23/05/2005;23/05/2005;;2009 Jany WGM;;;;;;10/05/2005 08:00
287;Version 3 Medication Release 2;Pharmacy Work Group;;Clinical;Scott Robertson;Archived;23/05/2005;23/05/2005;;2009 Jany WGM;;;;;;10/05/2005 08:00
301;HL7 Web Services Profiles, Release 2;Implementable Technology Specifications Work Group;;Infrastructure;Vassil Peytchev;Archived;21/06/2005;21/06/2005;Ballot - Normative (no STU);2014 May WGM/Ballot;IG;;;;;23/05/2005 08:00
268;Infrastructure: Resource Location and Updating Service Functional Model;Services Oriented Architecture Work Group;;Infrastructure;Stefano Lotti;Archived;30/01/2006;30/01/2006;Ballot - Normative (no STU);2013 Sept WGM/Ballot;Create New Standard;;The document repository will be in HSSP wiki: http://hssp-rlus-rfpsubmission.wikispaces.com/;;;30/05/2005 08:00
278;Public Health Investigation Request Phase I;Public Health Work Group;;Clinical;Dan Russler;Archived;26/09/2005;26/09/2005;Ballot - Comment;2009 Jany WGM;Supplement to a Current Standard;;;;;01/06/2005 08:00
304;Master File/Registry Trigger Event Control Act (MFMI) Release 1;Infrastructure and Messaging Work Group;;;HL7 Netherlands;Archived;07/06/2005;07/06/2005;Ballot - Normative (no STU);;;;;;;07/06/2005 08:00
300;Common Message Element Types (COCT) Release 4;Modeling and Methodology Work Group;;;Dale Nelson;Archived;24/06/2005;24/06/2005;Ballot - Normative (no STU);;Create New Standard;;;;;24/06/2005 08:00
290;Templates Implementation Specification Project;Templates Work Group;;Infrastructure;Jane Curry;Archived;23/05/2005;23/05/2005;;2009 Jany WGM;Supplement to a Current Standard;;;;;24/06/2005 08:00
274;Immunization Messages Domain (POIZ), Release 1;Public Health Work Group;;Clinical;HL7 Canada;Archived;30/01/2006;30/01/2006;Ballot - STU;2012 Jan WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Immunization_Project 
<a href=""http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPOIZ%2FDSTU%2520submission%2F"">http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPOIZ%2FDSTU%2520submission%2F";;;16/09/2005 08:00
254;Pharmacy Messages Domain (PORX), Release 1;Pharmacy Work Group;;Clinical;HL7 Canada;Archived;22/05/2006;22/05/2006;Ballot - Normative (no STU);2009 Jany WGM;Create New Standard;;;;;16/09/2005 08:00
271;Periodic Reporting of Clinical Trial Laboratory Data, Release 2;Biomedical Research and Regulation Work Group;;Clinical;Ed Tripp;Archived;10/02/2006;10/02/2006;Ballot - Normative (no STU);2010 May WGM/Ballot;;;"http://gforge.hl7.org/gf/project/rcrim/docman/?subdir=253; 
http://wiki.hl7.org/index.php?title=Periodic_Reporting_of_Clinical_Trial_Laboratory_Data%2C_Release_2;";;;10/01/2006 08:00
270;Regulated Product Submission;Biomedical Research and Regulation Work Group;;Clinical;Ed Tripp;Archived;30/01/2006;30/01/2006;;;Create New Standard;;;;;30/01/2006 08:00
272;Updated Template Interchange Format DSTU;Templates Work Group;Patient Care Work Group, Structured Documents Work Group;Infrastructure;John Roberts, Mark Shafarman;Archived;23/08/2011;29/08/2011;Ballot - STU;2014 May WGM/Ballot;;;gForge;;;30/01/2006 08:00
265;Infobutton Standard;Clinical Decision Support Work Group;;Administrative;Robert Jenders;Archived;30/01/2006;30/01/2006;Ballot - Normative (no STU);2010 Sept WGM/Ballot;Create New Standard;;;;;30/01/2006 08:00
253;Arden Syntax v2.6;Arden Syntax Work Group;;;Robert Jenders;Archived;09/05/2006;09/05/2006;;;Revise Current Standard;;;;;09/05/2006 08:00
264;Infrastructure: Entity Identification Service (EIS) Functional Model;Services Oriented Architecture Work Group;;Infrastructure;Ken Rubin;Archived;22/05/2006;22/05/2006;Ballot - Normative (no STU);2014 May WGM/Ballot;Create New Standard;;http://hssp.wikispaces.com/EIS+Normative+Ballot;;;22/05/2006 08:00
252;Structured Product Labeling, Release 3.0;Biomedical Research and Regulation Work Group;;Clinical;Ed Tripp;Archived;22/05/2006;22/05/2006;;;Revise Current Standard;;;;;22/05/2006 08:00
256;Clinical Event Domain - R1;Orders and Observations Work Group;;Administrative;Patrick Loyd, Hans Buitendijk, Gunther Schadow, Austin Kreisler, Rob Hausam;Archived;15/12/2008;22/05/2006;Ballot - STU;2015 Jan WGM/Ballot;Create New Standard;;;;V3 Messages-Clinical;22/05/2006 08:00
261;EHR Interoperability Model - EHR/IM;Electronic Health Records Work Group;;Administrative;Gary Dickinson;Archived;22/05/2006;22/05/2006;Ballot - STU;2009 May WGM/Ballot;Create New Standard;;;;Electronic Health Record;22/05/2006 08:00
260;Canadian Public Health Surveillance;Public Health Work Group;;Clinical;Ed Tripp;Archived;22/05/2006;22/05/2006;;;Supplement to a Current Standard;;;;;22/05/2006 08:00
262;HL7/ASTM IG for CDA Release 2 - Continuity of Care Document;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;22/05/2006;22/05/2006;Ballot - Informative;;IG;;;;V3 Documents-Clinical (e.g. CDA);22/05/2006 08:00
309;Immunization Administration;Public Health Work Group;;Clinical;Joginder Madra;Archived;23/03/2009;23/03/2009;Ballot - STU;2013 Sept WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Immunization_Project
<a href=""http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPOIZ%2FImmunization%2520Administration%2F"">http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPOIZ%2FImmunization%2520Administration%2F";;V3 Messages-Clinical;01/09/2006 08:00
