Source;Target;Weight
210;Yan Heras;1.0
460;Amnon Shabo;1.0
567;"Liora Alschuler; Bob Dolin:";1.0
573;EC WG Cochairs;1.0
728;Brett Marquard;1.0
728;Sarah Gaunt;1.0
770;Joy Kuhl;1.0
770;Andy Spooner;1.0
823;ITS Co-Chairs;1.0
891;Grahame Grieve;1.0
902;Margaret Dittloff;1.0
902;Elaine Ayres;1.0
924;Enrique Meneses;1.0
922;Hans Buitendijk/Ken McCaslin;1.0
973;Freida Hall and John Mooney;1.0
994;Paul Knapp;1.0
995;Donald T. Mon;1.0
995;John Ritter;1.0
1002;Brian Gugerty;1.0
1002;Hetty Khan (CDC/NCHS);1.0
1005;Robert Dieterle;1.0
1005;Daniel Kalwa;1.0
1007;TBD;1.0
1009;Becky Gradl;1.0
1018;Kensaku Kawamoto;1.0
1030;Kensaku Kawamoto;1.0
694;James McClay;1.0
694;;1.0
1050;Robert Freimuth;1.0
1056;Brian Pech;1.0
1068;Eric Haas;1.0
1067;Patrick E. Loyd;1.0
1069;Wendy Blumenthal;1.0
1093;Johnathan Coleman;1.0
1095;Riki Merrick;1.0
1095;Robert Dieterle;1.0
1105;Stephen Chu;1.0
1105;David Hay;1.0
1111;Russell Leftwich;1.0
1111;Michael Padula;1.0
1111;Pele Yu;1.0
1112;Laura Rappleye;1.0
1115;Hans Buitendijk;1.0
1122;Austin Kreisler;1.0
1122;Grahame Grieve;1.0
1125;Bryn Rhodes;1.0
1128;Jay Lyle;1.0
1128;Michelle Miller;1.0
1139;Melva Peters;1.0
1142;Bryn Rhodes;1.0
1146;Frank Oemig;1.0
1162;Brett Marquard;1.0
1175;Robert Jenders;1.0
1180;Benjamin Flessner;1.0
1181;Nathan Botts;1.0
1182;Tim McKay;1.0
1217;All Clinical Genomics Co-Chairs;1.0
1184;David Booth;1.0
1192;Andrea Benin;1.0
1204;Lisa Nelson;1.0
1209;John Moehrke;1.0
1208;Michelle Williamson;1.0
1208;Hetty Khan;1.0
1207;Lloyd McKenzie;1.0
1212;Craig Gabron and Robert Dieterle;1.0
1216;Maribeth Gagnon (CDC);1.0
1225;Zachary May;1.0
1232;Scott Robertson;1.0
1234;Bryn Rhodes;1.0
1239;Melva Peters;1.0
1260;Joginder Madra;1.0
1262;Jay Lyle;1.0
1274;Craig Gabron and Durwin Day;1.0
1279;Brett Marquard;1.0
1290;Stacey Marovich;1.0
1293;Craig Newman;1.0
1294;Riki Merrick;1.0
1294;Hans Buitendijk;1.0
1292;Riki Merrick;1.0
816;Michelle Williamson;1.0
1153;Martin Hurrell;1.0
1317;Russell Leftwich;1.0
1316;Steve Hufnagel;1.0
1316;Nona Hall;1.0
1570;James McClay;1.0
1323;Lisa Nelson;1.0
1335;Ed Heierman / JD Nolen;1.0
1342;Nathan Bunker;1.0
1341;Grahame Grieve;1.0
1345;Brian Postlethwaite and Bob Dieterle;1.0
981;Structured Docs Co-Chairs;1.0
1352;Michael L. Brody;1.0
1352;DPM;1.0
1366;John Loonsk;1.0
1366;eCR Standards Executive Sponsor;1.0
1366;CGI Federal and Consultant to APHL;1.0
1363;Richard Esmond;1.0
1363;Mark Kramer;1.0
1363;Frank Opelka;1.0
1370;Bob Milius;1.0
1371;Lindsey Hoggle;1.0
1371;Academy of Nutrition and Dietetics;1.0
1372;Brett Marquard and Eric Haas;1.0
1376;Dan Pollock;1.0
1377;Ted Klein;1.0
1377;Lloyd McKenzie;1.0
1377;Russ Hamm;1.0
1377;Riki Merrick;1.0
1377;Carol Macumber;1.0
1380;Steve Hufnagel & Nona Hall;1.0
1384;Lisa Nelson;1.0
1384;Jean Duteau;1.0
1384;Joginder Madra;1.0
1383;Lloyd McKenzie;1.0
1383;Gavin Tong;1.0
1387;Sandra Vance;1.0
1390;Lloyd McKenzie;1.0
1405;Bryn Rhodes;1.0
1405;Howard Strasberg;1.0
1405;Guilherme Del Fiol;1.0
1405;Richard Boyce;1.0
1392;Isaac Vetter;1.0
1394;Rob Snelick;1.0
1398;Laura Conn;1.0
1398;Centers for Disease Control and Prevention;1.0
1402;Russell Ott;1.0
1401;Dave Trepanier;1.0
1401;Project Coordinator;1.0
1407;Stefano Lotti;1.0
1407;Vincent McCauley;1.0
1315;Imaging Integration Work Group Co-Chairs;1.0
1503;Ed Helton;1.0
1422;Brian Alper;1.0
1420;Matt Lord;1.0
1420;Ken Lord;1.0
1420;Sean Muir;1.0
1424;Nagesh Bashyam;1.0
1426;Nagesh Bashyam / Martha Velezis / Rachael Roan/Richard Ballew;1.0
1425;Julie Evans;1.0
1425;Hugh Glover;1.0
1429;Bryn Rhodes;1.0
1429;Gay Dolin;1.0
1429;Robert Dieterle;1.0
1429;Linda Michaelsen;1.0
1429;Viet Nguyen;1.0
1428;Robert Dieterle;1.0
1428;Lenel James;1.0
1431;Irina Connelly;1.0
1431;Laura Burkhart;1.0
1433;FHIR-Infrastructure;1.0
1435;CDS WG Co-Chairs;1.0
1437;Lisa Nelson;1.0
1437;Brett Marquard;1.0
1452;Nathan Botts;1.0
1452;Frank Ploeg;1.0
1453;Riki Merrick;1.0
1453;JD Nolen;1.0
1475;Paula Braun;1.0
1475;Hetty Khan;1.0
1477;Hetty Khan;1.0
1477;Alaina Elliott;1.0
1481;Hans Buitendijk;1.0
1436;Preston Lee;1.0
1436;Vincent McCauley;1.0
1496;Robert Dieterle;1.0
1488;Mary Kay McDaniel;1.0
1490;Robert Dieterle;1.0
1490;Viet Nguyen;1.0
1493;Robert Dieterle;1.0
1493;Kevin Larsen;1.0
1494;Lloyd McKenzie;1.0
1494;Rick Geimer;1.0
1495;Lisa Nelson;1.0
1495;Rick Geimer;1.0
1502;Gary Dickinson FHL7;1.0
1497;Dan Gottlieb;1.0
1497;Brett Marquard;1.0
1499;Bryn Rhodes;1.0
1499;Rob Samples;1.0
1504;Jean Duteau;1.0
1507;Mobile WG Co-Chairs;1.0
1505;Bryn Rhodes;1.0
1521;Public Health WG Co-Chairs;1.0
1509;Mark Kramer;1.0
1511;Jeneita Bell;1.0
1591;Duteau Design;1.0
1591;Inc (Jean Duteau);1.0
1523;Boston Children's Hospital;1.0
1515;Robert Dieterle;1.0
1515;Viet Nguyen;1.0
1514;Robert Dieterle;1.0
1514;Viet Nguyen;1.0
1517;Robert Dieterle;1.0
1517;Viet Nguyen;1.0
1517;David Degandi;1.0
1520;Lisa Nelson;1.0
1520;Brett Marquard? (Sean McIlvena or Rick Geimer) for dependent tooling work);1.0
1518;Robert Dieterle;1.0
1518;Viet Nguyen;1.0
1554;HL7 PMO;1.0
1554;HL7 CTO;1.0
1554;Bob Dieterle;1.0
1554;Viet Nguyeng;1.0
1525;Robert Hausam;1.0
1525;MD;1.0
1525;Giorgio Cangioli;1.0
1516;Robert Dieterle;1.0
1516;Viet Nguyen;1.0
1526;Matt Rahn;1.0
1489;Mark Scrimshire;1.0
1489;Tony Benson;1.0
1489;Corey Spears;1.0
1527;EST Co-Chairs;1.0
1530;Anthony (Tony) Julian;1.0
1539;Stan Huff;1.0
1584;Susan Matney;1.0
1542;Anthony Julian;1.0
1535;Bryn Rhodes;1.0
1533;Rob McClure;1.0
1532;Craig Newman;1.0
1532;Thanh Cheng;1.0
1540;Anita Walden and Ed Hammond;1.0
1544;Ioana Singureanu;1.0
1537;"Mary Ann Slack; Boris Brodsky";1.0
1538;Amol Vyas;1.0
1538;Ryan Howells;1.0
1585;Stan Huff;1.0
1541;Stan Huff;1.0
1555;Rob Hausam;1.0
1549;Mike Davis;1.0
1549;Chris Shawn;1.0
1549;Johnathan Coleman;1.0
1543;Pooja Babbrah;1.0
1543;Ryan Howells;1.0
1578;Stan Huff;1.0
1550;MaryKay McDaniel/Ben Krahenbuhl (Epic);1.0
