Source;Target;Weight
210;NONE;1.0
460;NONE;1.0
567;NONE;1.0
573;NONE;1.0
728;NONE;1.0
770;NONE;1.0
823;NONE;1.0
891;NONE;1.0
902;NONE;1.0
924;NONE;1.0
922;NONE;1.0
973;NONE;1.0
994;NONE;1.0
995;NONE;1.0
1002;NONE;1.0
1005;NONE;1.0
1007;NONE;1.0
1009;NONE;1.0
1018;NONE;1.0
1030;NONE;1.0
694;NONE;1.0
1050;NONE;1.0
1056;NONE;1.0
1068;NONE;1.0
1067;NONE;1.0
1069;NONE;1.0
1093;NONE;1.0
1095;NONE;1.0
1105;NONE;1.0
1111;NONE;1.0
1112;NONE;1.0
1115;NONE;1.0
1122;NONE;1.0
1125;NONE;1.0
1128;NONE;1.0
1139;NONE;1.0
1142;NONE;1.0
1146;NONE;1.0
1162;NONE;1.0
1175;NONE;1.0
1180;NONE;1.0
1181;NONE;1.0
1182;NONE;1.0
1217;NONE;1.0
1184;NONE;1.0
1192;NONE;1.0
1204;NONE;1.0
1209;NONE;1.0
1208;NONE;1.0
1207;NONE;1.0
1212;NONE;1.0
1216;NONE;1.0
1225;NONE;1.0
1232;NONE;1.0
1234;NONE;1.0
1239;NONE;1.0
1260;NONE;1.0
1262;NONE;1.0
1274;NONE;1.0
1279;NONE;1.0
1290;NONE;1.0
1293;NONE;1.0
1294;NONE;1.0
1292;NONE;1.0
816;NONE;1.0
1153;NONE;1.0
1317;NONE;1.0
1316;NONE;1.0
1570;NONE;1.0
1323;NONE;1.0
1335;NONE;1.0
1342;NONE;1.0
1341;NONE;1.0
1345;NONE;1.0
981;NONE;1.0
1352;NONE;1.0
1366;NONE;1.0
1363;NONE;1.0
1370;NONE;1.0
1371;NONE;1.0
1372;NONE;1.0
1376;NONE;1.0
1377;ONC;1.0
1380;NONE;1.0
1384;ONC;1.0
1383;ONC;1.0
1387;ONC;1.0
1390;NONE;1.0
1405;NONE;1.0
1392;NONE;1.0
1394;NONE;1.0
1398;NONE;1.0
1402;NONE;1.0
1401;NONE;1.0
1407;NONE;1.0
1315;NONE;1.0
1503;NONE;1.0
1422;NONE;1.0
1420;NONE;1.0
1424;NONE;1.0
1426;NONE;1.0
1425;NONE;1.0
1429;DaVinci;1.0
1428;NONE;1.0
1431;NONE;1.0
1433;NONE;1.0
1435;NONE;1.0
1437;NONE;1.0
1452;NONE;1.0
1453;NONE;1.0
1475;NONE;1.0
1477;NONE;1.0
1481;NONE;1.0
1436;NONE;1.0
1496;NONE;1.0
1488;NONE;1.0
1490;DaVinci;1.0
1493;DaVinci;1.0
1494;DaVinci;1.0
1495;DaVinci;1.0
1502;NONE;1.0
1497;ONC;1.0
1499;NONE;1.0
