Source;Target;Weight
210;V3 docs-clin;1.0
460;V3 docs-clin;1.0
567;V3 docs-clin;1.0
573;Other;1.0
728;V3 docs-clin;1.0
770;EHR;1.0
823;Other;1.0
891;Other;1.0
902;V3 vocab;1.0
924;Other;1.0
922;V2 msgs-clin;1.0
973;V2 msgs-clin;1.0
994;Other;1.0
995;EHR;1.0
1002;V3 docs-clin;1.0
1005;V3 docs-clin;1.0
1007;V2 msgs-infra;1.0
1009;Other;1.0
1018;V3 WS (OMG);1.0
1030;NEW PROD;1.0
694;EHR;1.0
1050;DAM;1.0
1056;Other;1.0
1068;Other;1.0
1067;DAM;1.0
1069;V3 docs-knowl;1.0
1093;V3 docs-clin;1.0
1095;Other;1.0
1105;Other;1.0
1111;V3 docs-clin;1.0
1112;V3 docs-clin;1.0
1115;Other;1.0
1122;Other;1.0
1125;Other;1.0
1128;Other;1.0
1139;V3 docs-clin;1.0
1142;V3 docs-knowl;1.0
1146;V2 msgs-infra;1.0
1146;V3 docs-clin;1.0
1146;V3 RIM;1.0
1146;V3 vocab;1.0
1162;NON-PROD;1.0
1175;NEW PROD;1.0
1180;NON-PROD;1.0
1181;NEW PROD;1.0
1182;NEW PROD;1.0
1217;Other;1.0
1184;FHIR Resources;1.0
1192;FHIR IG;1.0
1192;FHIR Profile;1.0
1204;V3 msgs-clin;1.0
1209;Other;1.0
1208;V3 docs-clin;1.0
1207;Other;1.0
1212;V3 docs-clin;1.0
1216;Other;1.0
1225;V3 docs-clin;1.0
1232;V3 docs-clin;1.0
1234;FHIR IG;1.0
1234;FHIR Profile;1.0
1234;FHIR Resources;1.0
1239;Other;1.0
1260;Other;1.0
1262;NON-PROD;1.0
1274;V3 docs-clin;1.0
1279;V3 docs-clin;1.0
1290;FHIR Resources;1.0
1293;V2 msgs-clin;1.0
1294;V2 msgs-clin;1.0
1292;DAM;1.0
816;Other;1.0
1153;DAM;1.0
1317;DAM;1.0
1316;Other;1.0
1570;Other;1.0
1323;V3 docs-clin;1.0
1335;FHIR Profile;1.0
1342;Other;1.0
1341;Other;1.0
1345;FHIR Profile;1.0
981;Other;1.0
1352;EHR;1.0
1366;FHIR IG;1.0
1366;FHIR Profile;1.0
1363;FHIR IG;1.0
1363;FHIR Profile;1.0
1363;Guidance;1.0
1363;Logical Model;1.0
1370;FHIR Profile;1.0
1371;V3 docs-clin;1.0
1372;FHIR IG;1.0
1376;V3 docs-clin;1.0
1377;Other;1.0
1380;Ed Services;1.0
1380;Guidance;1.0
1380;Logical Model;1.0
1380;HL7 policy;1.0
1384;V3 docs-clin;1.0
1383;Other;1.0
1387;FHIR IG;1.0
1387;FHIR Profile;1.0
1390;FHIR IG;1.0
1405;FHIR Profile;1.0
1392;FHIR Profile;1.0
1394;Non-HL7 tool;1.0
1398;FHIR IG;1.0
1398;FHIR Profile;1.0
1398;FHIR Resources;1.0
1402;V3 docs-clin;1.0
1401;V2 msgs-Admin;1.0
1407;Logical Model;1.0
1315;Other;1.0
1503;DAM;1.0
1422;FHIR IG;1.0
1422;FHIR Profile;1.0
1420;V3 WS (OMG);1.0
1424;FHIR IG;1.0
1424;FHIR Profile;1.0
1426;FHIR IG;1.0
1425;FHIR IG;1.0
1429;FHIR IG;1.0
1428;FHIR IG;1.0
1431;Other;1.0
1433;FHIR IG;1.0
1433;FHIR Profile;1.0
1435;Other;1.0
1437;WP;1.0
1452;NEW PROD;1.0
1453;DAM;1.0
1475;Other;1.0
1477;V2 msgs-Admin;1.0
1481;FHIR Profile;1.0
1481;FHIR Resources;1.0
1481;V2 msgs-Admin;1.0
1481;V2 msgs-clin;1.0
1481;V2 msgs-dept;1.0
1436;V3 WS (OMG);1.0
1496;FHIR IG;1.0
1496;FHIR Profile;1.0
1488;NON-PROD;1.0
1490;FHIR IG;1.0
