Source;Target;Weight
210;WG:CQI;2.0
460;WG:CG;2.0
567;WG:StructDoc;2.0
573;WG:EmCare;2.0
728;WG:StructDoc;2.0
770;WG:PatCare;2.0
823;WG:ITS;2.0
891;MG:FHIR-M;2.0
902;WG:O&O;2.0
924;WG:PatCare;2.0
922;WG:O&O;2.0
973;WG:O&O;2.0
994;WG:FM;2.0
995;WG:EHR;2.0
1002;WG:PH;2.0
1005;WG:StructDoc;2.0
1007;WG:ITS;2.0
1009;WG:O&O;2.0
1018;WG:CDS;2.0
1030;WG:CDS;2.0
694;WG:EmCare;2.0
1050;WG:CG;2.0
1056;MG:V2;2.0
1068;WG:O&O;2.0
1067;WG:O&O;2.0
1069;WG:PH;2.0
1093;WG:Sec;2.0
1095;WG:O&O;2.0
1105;WG:PatCare;2.0
1111;WG:PatCare;2.0
1112;WG:PH;2.0
1115;WG:O&O;2.0
1122;WG:StructDoc;2.0
1125;WG:CQI;2.0
1128;WG:PatCare;2.0
1139;WG:Pharm;2.0
1142;WG:CQI;2.0
1146;WG:conf;2.0
1162;WG:StructDoc;2.0
1175;WG:Arden;2.0
1180;WG:StructDoc;2.0
1181;WG:mHealth;2.0
1182;WG:mHealth;2.0
1217;WG:CG;2.0
1184;WG:ITS;2.0
1192;WG:StructDoc;2.0
1204;WG:StructDoc;2.0
1209;WG:Sec;2.0
1208;WG:PH;2.0
1207;WG:FHIR-I;2.0
1212;WG:PPIX;2.0
1216;WG:PH;2.0
1225;WG:StructDoc;2.0
1232;WG:StructDoc;2.0
1234;WG:CDS;2.0
1234;WG:CQI;2.0
1239;WG:Pharm;2.0
1260;WG:PH;2.0
1262;WG:PatCare;2.0
1274;WG:PPIX;2.0
1279;WG:StructDoc;2.0
1290;WG:PH;2.0
1293;WG:PH;2.0
1294;WG:O&O;2.0
1292;WG:O&O;2.0
816;WG:PH;2.0
1153;WG:Devices;2.0
1317;WG:LHS;2.0
1316;WG:CIMI;2.0
1570;WG:EmCare;2.0
1323;WG:StructDoc;2.0
1335;WG:O&O;2.0
1342;WG:PH;2.0
1341;WG:FHIR-I;2.0
1345;WG:PatAdmin;2.0
981;WG:StructDoc;2.0
1352;WG:EHR;2.0
1366;WG:PH;2.0
1363;WG:CIC;2.0
1370;WG:O&O;2.0
1371;WG:StructDoc;2.0
1372;WG:XGP;2.0
1376;WG:StructDoc;2.0
1377;WG:BOD;2.0
1380;WG:CIC;2.0
1384;WG:BOD;2.0
1383;WG:BOD;2.0
1387;WG:BOD;2.0
1390;WG:FHIR-I;2.0
1405;WG:CDS;2.0
1392;WG:II;2.0
1394;MG:V2;2.0
1398;WG:StructDoc;2.0
1402;WG:PPIX;2.0
1401;WG:PH;2.0
1407;WG:SOA;2.0
1315;WG:II;2.0
1503;WG:BRR;2.0
1422;WG:CDS;2.0
1420;WG:SOA;2.0
1424;WG:BRR;2.0
1426;WG:BRR;2.0
1425;WG:BRR;2.0
1429;WG:CQI;2.0
1428;WG:FM;2.0
1431;WG:CBCP;2.0
1433;WG:FHIR-I;2.0
1435;WG:CDS;2.0
1437;MG:CDA;2.0
1452;WG:mHealth;2.0
1453;WG:O&O;2.0
1475;WG:PH;2.0
1477;WG:PH;2.0
1481;WG:O&O;2.0
1436;WG:SOA;2.0
1496;WG:O&O;2.0
1488;WG:FM;2.0
1490;WG:FM;2.0
1493;WG:CDS;2.0
1494;WG:CIC;2.0
1495;WG:PatCare;2.0
1502;WG:EHR;2.0
1497;WG:FHIR-I;2.0
1499;WG:CQI;2.0
1504;WG:M&M;2.0
1507;WG:mHealth;2.0
1505;WG:CDS;2.0
1521;WG:PH;2.0
1509;WG:CIC;2.0
1511;WG:PH;2.0
1591;WG:BOD;2.0
1523;WG:BOD;2.0
1515;WG:FM;2.0
1514;WG:FM;2.0
1517;WG:FM;2.0
1520;WG:StructDoc;2.0
1518;WG:PatCare;2.0
1554;WG:BOD;2.0
1525;WG:PatCare;2.0
1516;WG:CDS;2.0
1526;WG:StructDoc;2.0
1489;WG:FM;2.0
1527;Pub;2.0
1527;WG:EST;2.0
1530;WG:I&M;2.0
1539;WG:O&O;2.0
1584;WG:PatCare;2.0
1542;WG:I&M;2.0
1535;WG:CDS;2.0
1533;WG:Vocab;2.0
1532;WG:PH;2.0
1540;WG:BRR;2.0
1544;WG:conf;2.0
1537;WG:BRR;2.0
1538;WG:FM;2.0
1585;WG:CIC;2.0
1541;WG:O&O;2.0
1555;WG:BOD;2.0
1549;WG:Sec;2.0
1543;WG:Pharm;2.0
