Source;Target;Weight
210;Ballot - STU to Normative;1.0
460;Ballot - STU;1.0
567;Ballot - STU;1.0
573;UNK;1.0
728;Ballot - STU to Normative;1.0
770;Ballot - STU;1.0
823;UNK;1.0
891;Ballot - STU to Normative;1.0
902;Ballot - Informative;1.0
924;Ballot - STU to Normative;1.0
922;Ballot - STU to Normative;1.0
973;Ballot - STU to Normative;1.0
994;- Other -;1.0
995;Ballot - Informative;1.0
1002;Ballot - STU to Normative;1.0
1005;Ballot - STU to Normative;1.0
1007;Ballot - STU to Normative;1.0
1009;Ballot - Informative;1.0
1018;Ballot - STU to Normative;1.0
1030;Ballot - Informative;1.0
694;Ballot - Informative;1.0
1050;Ballot - Comment;1.0
1056;- Other -;1.0
1068;Ballot - STU to Normative;1.0
1067;Ballot - Informative;1.0
1069;Ballot - STU to Normative;1.0
1093;Ballot - STU to Normative;1.0
1095;Ballot - STU to Normative;1.0
1105;- Other -;1.0
1111;Ballot - STU to Normative;1.0
1112;Ballot - STU to Normative;1.0
1115;Ballot - STU to Normative;1.0
1122;Ballot - STU to Normative;1.0
1125;Ballot - STU to Normative;1.0
1128;- Other -;1.0
1139;Ballot - STU to Normative;1.0
1142;Ballot - STU to Normative;1.0
1146;Ballot - Informative;1.0
1162;- Other -;1.0
1175;Ballot - Informative;1.0
1180;- Other -;1.0
1181;Ballot - STU to Normative;1.0
1182;Ballot - Comment;1.0
1217;Ballot - STU to Normative;1.0
1184;Ballot - STU to Normative;1.0
1192;Ballot - STU to Normative;1.0
1204;Ballot - STU to Normative;1.0
1209;- Other -;1.0
1208;Ballot - STU to Normative;1.0
1207;- Other -;1.0
1212;Ballot - STU to Normative;1.0
1216;Ballot - STU to Normative;1.0
1225;Ballot - Comment;1.0
1232;Ballot - STU to Normative;1.0
1234;Ballot - STU to Normative;1.0
1239;Ballot - STU;1.0
1260;- Other -;1.0
1262;Ballot - Informative;1.0
1274;Ballot - STU to Normative;1.0
1279;Ballot - STU to Normative;1.0
1290;Ballot - STU to Normative;1.0
1293;Ballot - STU to Normative;1.0
1294;Ballot - STU to Normative;1.0
1292;Ballot - Informative;1.0
816;Ballot - STU;1.0
1153;Ballot - Informative;1.0
1317;Ballot - Informative;1.0
1316;Ballot - Informative;1.0
1570;Ballot - Informative;1.0
1323;Ballot - STU to Normative;1.0
1335;Ballot - STU to Normative;1.0
1342;Ballot - STU to Normative;1.0
1341;Ballot - STU to Normative;1.0
1345;Ballot - STU to Normative;1.0
981;- Other -;1.0
1352;Ballot - STU;1.0
1366;Ballot - STU to Normative;1.0
1363;Ballot - STU to Normative;1.0
1370;Ballot - STU to Normative;1.0
1371;Ballot - STU to Normative;1.0
1372;Ballot - STU to Normative;1.0
1376;Ballot - STU to Normative;1.0
1377;Vendor Contract;1.0
1380;Ballot - STU to Normative;1.0
1384;Vendor Contract;1.0
1383;Vendor Contract;1.0
1387;Vendor Contract;1.0
1390;Ballot - STU to Normative;1.0
1405;Ballot - STU to Normative;1.0
1392;Ballot - STU to Normative;1.0
1394;- Other -;1.0
1398;Ballot - STU to Normative;1.0
1402;Ballot - STU to Normative;1.0
1401;Ballot - STU to Normative;1.0
1407;Ballot - STU;1.0
1315;Ballot - STU to Normative;1.0
1503;Ballot - Informative;1.0
1422;Ballot - STU to Normative;1.0
1420;Ballot - STU;1.0
1424;Ballot - STU to Normative;1.0
1426;Ballot - STU to Normative;1.0
1425;Ballot - STU to Normative;1.0
1429;Ballot - STU to Normative;1.0
1428;Ballot - STU to Normative;1.0
1431;Ballot - Informative;1.0
1433;Ballot - STU to Normative;1.0
1435;- Other -;1.0
1437;Investigative Project (PSS-Lite);1.0
1452;Ballot - STU to Normative;1.0
1453;Ballot - Informative;1.0
1475;Ballot - STU to Normative;1.0
1477;Ballot - STU to Normative;1.0
1481;Ballot - STU to Normative;1.0
1436;Ballot - STU;1.0
1496;Ballot - STU to Normative;1.0
1488;Investigative Project (PSS-Lite);1.0
1490;Ballot - STU to Normative;1.0
1493;Ballot - STU to Normative;1.0
