Id;Label;Name;Sponsors;Co_sponsors;Steering Division;Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Aliases;Project Document Repository;External Vocabularies;Products;Start Date
210;210;QRDA Draft Standard for Trial Use, Release 3;Clinical Quality Information Work Group;Structured Documents Work Group;Clinical;Yan Heras;STU - Test Period/Accepting Comments;07/12/2015;01/02/2016;Ballot - STU to Normative;2024 Jan WGM/Ballot;Supplement to a Current Standard, IG;QRDA-1, QRDA Category 1, QRDA Cat 1;http://wiki.hl7.org/index.php?title=Quality_Reporting_Document_Architecture ;Don't Know;V3 Documents-Clinical (e.g. CDA);28/01/2008 08:00
460;460;CDA IG for Genetic Testing Reports;Clinical Genomics Work Group;;Clinical;Amnon Shabo;Informative - Reconcile;20/02/2012;01/06/2009;Ballot - STU;2022 Sept WGM/Ballot;Create New Standard, IG;;;;V3 Documents-Clinical (e.g. CDA);22/01/2009 08:00
567;567;IG for CDA Release 2 - Level 3, Neonatal Care Report;Structured Documents Work Group;Child Health Work Group;Infrastructure;"Liora Alschuler; Bob Dolin:";STU - Expired Test Period;21/09/2009;26/10/2009;Ballot - STU;2025 Sept WGM/Ballot;IG;;"http://wiki.hl7.org/index.php?title=Neonatal_Care_Report; http://www.hl7.org/dstucomments/";;V3 Documents-Clinical (e.g. CDA);01/10/2009 08:00
573;573;Emergency Care DAM Version 2;Emergency Care Work Group;;Clinical;EC WG Cochairs;On Hold;;;;2019 Jan WGM/Ballot;;;;;;16/10/2009 08:00
728;728;HL7/IHE Health Story IG Consolidation;Structured Documents Work Group;Patient Care Work Group;Infrastructure;Brett Marquard, Sarah Gaunt;Active Project (Resources assigned to pjt);22/06/2012;02/07/2012;Ballot - STU to Normative;2025 Sept WGM/Ballot;IG;;"www.cdatools.org; http://wiki.hl7.org/index.php?title=Structured_Documents";;V3 Documents-Clinical (e.g. CDA);13/12/2010 08:00
770;770;HL7 Child Health Neonatology Profile for EHR Systems, v 1.0;Patient Care Work Group;Electronic Health Records Work Group;Clinical;Joy Kuhl, Andy Spooner;On Hold;28/03/2011;11/04/2011;Ballot - STU;2022 Sept WGM/Ballot;Create New Standard;;"Work Group's web page on www.hl7.org and HL7 Project Insight.
http://www.hl7.org/Special/committees/pedsdata/index.cfm";;Electronic Health Record;29/03/2011 08:00
823;823;FHIR;Implementable Technology Specifications Work Group;;Infrastructure;ITS Co-Chairs;Active Project (Resources assigned to pjt);;;;2025 Jan WGM/Ballot;;;;;;19/10/2011 08:00
891;891;FHIR DSTU Ballot (Jira PSS-1955);FHIR Management Group;Modeling and Methodology Work Group;Administrative, Clinical, Infrastructure, Organizational Support;Grahame Grieve;STU - Test Period/Accepting Comments;29/05/2012;11/06/2012;Ballot - STU to Normative;2023 May WGM/Ballot;Create New Standard;;www.hl7.org/fhir, and http://gforge.hl7.org/gf/project/fhir ;;;29/05/2012 08:00
902;902;V3 Nutrition Order Clinical Messages;Orders and Observations Work Group;Patient Care Work Group, Pharmacy Work Group;Administrative;Margaret Dittloff, Elaine Ayres;Informative - Request Publication;19/06/2012;02/07/2012;Ballot - Informative;2023 Jan WGM/Ballot;Create New Standard;;HL7 Orders and Observations Wiki Site: http://wiki.hl7.org/index.php?title=Nutrition_Management;;V3 Foundation-Vocab Domains & Value Sets;08/06/2012 08:00
924;924;HL7 Care Coordination Service (CCS);Patient Care Work Group;Clinical Decision Support Work Group, Services Oriented Architecture Work Group;Clinical;Enrique Meneses;STU - Test Period/Accepting Comments;15/10/2012;10/12/2012;Ballot - STU to Normative;2019 May WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Care_Coordination_Service;;;21/09/2012 08:00
