Id;Name
210;QRDA Draft Standard for Trial Use, Release 3
460;CDA IG for Genetic Testing Reports
567;IG for CDA Release 2 - Level 3, Neonatal Care Report
573;Emergency Care DAM Version 2
728;HL7/IHE Health Story IG Consolidation
770;HL7 Child Health Neonatology Profile for EHR Systems, v 1.0
823;FHIR
891;FHIR DSTU Ballot (Jira PSS-1955)
902;V3 Nutrition Order Clinical Messages
924;HL7 Care Coordination Service (CCS)
922;Laboratory Order Interface IG (LOI IG) DSTU
973;HL7 Version 2 IG:  Laboratory Test Compendium Framework, Release 2
994;Develop FHIR resources for Financial Management
995;Usability Guidelines for EHR Systems
1002;HL7 CDA IG for National Medical Care Surveys
1005;CDA Section for Digital Signatures and Delegation of Rights
1007;HL7 over HTTP
1009;V3 Food and Medication Preferences Clinical Messages
1018;Decision Support Service IG
1030;Virtual Medical Record for Clinical Decision Support (vMR-CDS)  Templates, Release 1 DSTU
694;EDIS - Emergency Department Information System Functional Profile Version 2.0
1050;HL7 Clinical Genomics Domain Information Model(s) (PSS in Confluence)
1056;Version 2.x Example Verification and Management
1068;Lab Order Logical Specification R1 (application to FHIR)
1067;Lab Order Conceptual Specification R2
1069;CDA IG for Ambulatory Healthcare Provider Reporting to Central Cancer Registries
1093;Provenance for Clinical Document Architecture (CDA R2) IG
1095;EHR-S Func Reqs Doc for Laboratory Interoperability Transactions - EHR-S Func Reqs IG for LRI
1105;PCWG Develop FHIR resources and profiles for the Next STU release.
1111;Essential Information for Children with Special Health Care Needs
1112;HL7 CDA IG for Ambulatory Healthcare Provider Reporting to Birth Defect Registries
1115;OO FHIR DSTU Monitoring and Maintenance
1122;C-CDA on FHIR
1125;Harmonization of Health Quality Information Models - FHIR
1128;Patient Care FHIR resource review
1139;Pharmacy Universal CDA Templates
1142;CQL-based HQMF IG
1146;Unified Conformance and Constraint Modeling (previously known as Refinement, Constraint and Localization, Release 3)
1162;Value Set Maintenance and Stewardship
1175;Clinical Decision Support Big Picture IG
1180;Pilot WIKI Based Ballot Editing
1181;Mobile Framework for Healthcare Adoption of Short-Message Technologies (mFHAST)
1182;Consumer Mobile Health Application Functional Framework
1217;Develop FHIR artifacts for clinical genomics
1184;FHIR Ontology and RDF Resource Representation Project
1192;HL7 IG(s) for CDA Release 2 & FHIR Release 4: Healthcare Associated Infection Reports (PSS in Confluence)
1204;HL7 IG for CDA® Release 2: Personal Advance Care Plan Document, Release 1
1209;Develop and maintain FHIR security resources
1208;HL7 Version 2.6 IG: Vital Records Death Reporting, DSTU 2 (US Realm)
1207;Develop and maintain FHIR Infrastructure resources
1212;HL7 Attachments Supplemental Guide for the Exchange of C-CDA Based Documents -- IG DSTU Release 1
1216;Public Health Case Report Update
1225;Occupational Data for Health Data Elements and Structure for Consolidated CDA Social History Section
1232;CDA and FHIR Pharmacist Care Plan IGs
1234;HL7 FHIR IG: CDS Hooks, Release 1
1239;HL7 Pharmacy FHIR Updates
1260;Development and Maintenance of Immunization-related FHIR Resources
1262;Definition of negation requirements for standards
1274;HL7 CDA R2 Periodontal Attachment IG: Exchange of C-CDA Based Documents, Release 1 - US Realm
1279;C-CDA R2.1 Guidance on Documenting UDI and associated data for Implantable Medical Devices (C-CDA R.1 Volume 3 Update)
1290;Occupational Data for Health (ODH) Elements and Structure in HL7 V2 Messaging and FHIR
1293;HL7 Version 2.8.2 IG: Immunization Messaging, Release 1 STU (US Realm)
1294;Laboratory Results Interface IG
1292;Specimen DAM Update
816;HL7 Version 2.6 IG: Vital Records Birth and Fetal Death Reporting, Release 1, STU Release 2 - US Realm
1153;Anesthesia (intra-procedure) Domain Analysis Model (DAM), Release 1
1317;Care Team Domain Analysis Model
1316;Integrated Information Models and Tools (IIM&T)
1570;Data Elements for Emergency Department Systems Update and Revision (updated PSS on Confluence)
1323;C-CDA R2.1 Volume 3 Update – Advance Directives Templates Clarifications
1335;LOINC - IVD Test Code (LIVD) Mapping
1342;Clinical Decision Support (CDS) for Immunizations FHIR IG
1341;SMART Application Launch Framework
1345;Validated Healthcare Directory IG
981;Structured Docs WG 3-Year Plan Items
1352;Podiatry Profile of EHR-S Functional Model V 2.01
